<TIMESTAMP>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1484288220,793.37,795.95,792.52,795.95,7486.833502699999
1484288280,795.32,797.14,795.32,797.14,3965.0614442
1484288340,795.32,797.14,795.32,797.14,3965.0614442
1484288400,797.04,797.04,797.04,797.04,993.29514326
1484288460,797.04,797.04,797.04,797.04,3.9301723583999997
1484288520,797.05,806.46,797.05,798.78,69275.90408
1484288580,798.78,800.09,798.47,798.47,1206.5713111
1484288640,799.52,800.0,798.46,800.0,26209.020675
1484288700,799.11,799.11,799.11,799.11,5872.2103541
1484288760,799.11,799.11,799.11,799.11,5872.2103541
1484288820,799.11,799.11,798.49,798.49,6566.4552625
1484288880,799.11,799.11,798.49,798.49,6566.4552625
1484288940,799.11,799.11,798.49,798.49,6566.4552625
1484289000,798.52,798.52,798.49,798.49,2132.6331
1484289060,798.49,798.49,797.55,797.55,600.20673268
1484289120,797.55,797.55,797.01,797.02,192.1099562
1484289180,797.01,797.01,797.01,797.01,900.56122139
1484289240,797.01,797.01,797.01,797.01,23.9103
1484289300,797.01,797.01,797.0,797.0,3797.114153
1484289360,796.98,796.98,796.37,796.37,55.772175333999996
1484289420,796.98,796.98,796.37,796.37,55.772175333999996
1484289480,796.37,796.37,796.37,796.37,4.4668472937
1484289540,796.37,796.37,796.37,796.37,4.4668472937
1484289600,796.33,796.33,795.96,795.96,3381.8019863000004
1484289660,795.79,795.79,794.01,794.01,635.62869056
1484289720,794.01,794.01,790.71,793.2,4260.9025704999995
1484289780,792.85,792.85,785.89,785.92,60546.405398
1484289840,785.92,785.92,785.92,785.92,3463.7046278000003
1484289900,785.92,785.92,785.91,785.92,13028.014008
1484289960,785.92,785.95,785.92,785.95,3623.7153846
1484290020,785.95,788.0,785.94,788.0,10047.428390000001
1484290080,788.0,794.71,788.0,792.26,8732.4626006
1484290140,792.33,792.33,792.25,792.25,755.44011404
1484290200,792.26,792.26,792.21,792.21,2692.947041
1484290260,792.26,792.26,792.21,792.21,2692.947041
1484290320,791.84,791.84,791.84,791.84,118.77600000000001
1484290380,791.99,791.99,791.99,791.99,4381.526277
1484290440,791.99,791.99,791.99,791.99,4381.526277
1484290500,792.08,792.2,792.08,792.2,23.7636
1484290560,792.08,792.2,792.08,792.2,23.7636
1484290620,792.08,792.2,792.08,792.2,23.7636
1484290680,792.19,792.19,792.19,792.19,118.8285
1484290740,792.19,792.19,792.19,792.19,118.8285
1484290800,792.19,792.19,792.19,792.19,46.801357305
1484290860,792.19,792.19,792.19,792.19,47.5314
1484290920,792.19,792.33,791.44,792.33,6395.4844735
1484290980,792.19,792.33,791.44,792.33,6395.4844735
1484291040,792.19,792.33,791.44,792.33,6395.4844735
1484291100,792.2,792.2,792.2,792.2,418.44934043
1484291160,792.2,792.2,792.2,792.2,418.44934043
1484291220,792.2,792.2,792.2,792.2,261.426
1484291280,792.2,792.2,792.2,792.2,79.22
1484291340,792.2,792.2,792.2,792.2,79.22
1484291400,792.2,792.2,792.2,792.2,79.22
1484291460,792.2,792.2,792.2,792.2,79.22
1484291520,792.2,792.2,792.2,792.2,47.532
1484291580,792.21,792.23,792.21,792.23,1679.5059019999999
1484291640,792.22,792.23,792.22,792.23,102.9896
1484291700,792.22,792.22,792.21,792.21,451.5614
1484291760,792.22,792.22,792.22,792.22,133.30473625
1484291820,792.22,792.23,792.13,792.13,17860.061338
1484291880,791.84,791.98,791.84,791.84,601.51818176
1484291940,791.84,792.19,791.84,792.16,4302.7732006999995
1484292000,792.17,792.17,792.17,792.17,232.25894438
1484292060,792.01,792.01,790.0,790.03,8707.2589963
1484292120,792.01,792.01,790.0,790.03,8707.2589963
1484292180,790.03,790.03,790.02,790.03,1268.4541095
